Year,school_dbn,avg_attendance,school_level,regents_exam,total_tested,mean_score,number_scoring_below_65,number_scoring_65_or_above,number_scoring_80_or_above,number_scoring_cr,per_below_65,per_above_65,per_above_80,college_readiness_rate
2015,01M509,0.7665214128215123,High school,Algebra2/Trigonometry,19,74.2,6,13,8,8,0.3157894736842105,0.6842105263157895,0.42105263157894735,0.42105263157894735
2015,01M509,0.7665214128215123,High school,Common Core Algebra,41,61.3,25,16,1,6,0.6097560975609756,0.3902439024390244,0.024390243902439025,0.14634146341463414
2015,01M509,0.7665214128215123,High school,English,106,69.2,28,78,27,49,0.2641509433962264,0.7358490566037735,0.25471698113207547,0.46226415094339623
2015,01M509,0.7665214128215123,High school,Geometry,37,65.7,14,23,2,2,0.3783783783783784,0.6216216216216216,0.05405405405405406,0.05405405405405406
2015,01M509,0.7665214128215123,High school,Integrated Algebra,74,60.3,45,29,3,3,0.6081081081081081,0.3918918918918919,0.04054054054054054,0.04054054054054054
2015,01M696,0.957908174443435,High school,Common Core Algebra,66,72.5,3,63,6,48,0.045454545454545456,0.9545454545454546,0.09090909090909091,0.7272727272727273
2015,01M696,0.957908174443435,High school,Common Core English,122,91.7,0,122,117,120,0,1,0.9590163934426229,0.9836065573770492
2015,02M047,0.8808979355212728,High school,Algebra2/Trigonometry,14,53,9,5,1,1,0.6428571428571429,0.35714285714285715,0.07142857142857142,0.07142857142857142
2015,02M047,0.8808979355212728,High school,Common Core Algebra,66,57.6,48,18,0,2,0.7272727272727273,0.2727272727272727,0,0.030303030303030304
2015,02M047,0.8808979355212728,High school,Common Core English,46,67.5,14,32,7,15,0.30434782608695654,0.6956521739130435,0.15217391304347827,0.32608695652173914
2015,02M047,0.8808979355212728,High school,Common Core Geometry,38,53.2,31,7,0,3,0.8157894736842105,0.18421052631578946,0,0.07894736842105263
2015,02M047,0.8808979355212728,High school,English,21,57,12,9,0,4,0.5714285714285714,0.42857142857142855,0,0.19047619047619047
2015,02M047,0.8808979355212728,High school,Geometry,49,55.6,37,12,0,0,0.7551020408163265,0.24489795918367346,0,0
2015,02M047,0.8808979355212728,High school,Integrated Algebra,33,59.5,17,16,0,0,0.5151515151515151,0.48484848484848486,0,0
2015,02M135,0.8829678605161718,High school,Common Core Algebra,58,62.3,30,28,0,10,0.5172413793103449,0.4827586206896552,0,0.1724137931034483
2015,02M135,0.8829678605161718,High school,Common Core English,73,83.5,2,71,52,60,0.0273972602739726,0.9726027397260274,0.7123287671232876,0.821917808219178
2015,02M135,0.8829678605161718,High school,Common Core Geometry,42,59,32,10,0,8,0.7619047619047619,0.23809523809523808,0,0.19047619047619047
2015,02M135,0.8829678605161718,High school,English,68,76,7,61,27,42,0.10294117647058823,0.8970588235294118,0.39705882352941174,0.6176470588235294
2015,02M135,0.8829678605161718,High school,Geometry,41,72.8,6,35,8,8,0.14634146341463414,0.8536585365853658,0.1951219512195122,0.1951219512195122
2015,02M135,0.8829678605161718,High school,Integrated Algebra,14,59.1,9,5,0,0,0.6428571428571429,0.35714285714285715,0,0
2015,02M139,0.8807651745345572,High school,Common Core Algebra,169,56.8,130,39,1,14,0.7692307692307693,0.23076923076923078,0.005917159763313609,0.08284023668639054
2015,02M139,0.8807651745345572,High school,Common Core Geometry,70,48.5,59,11,0,6,0.8428571428571429,0.15714285714285714,0,0.08571428571428572
2015,02M139,0.8807651745345572,High school,Geometry,62,49.8,51,11,0,0,0.8225806451612904,0.1774193548387097,0,0
2015,02M139,0.8807651745345572,High school,Integrated Algebra,70,63.3,36,34,4,4,0.5142857142857142,0.4857142857142857,0.05714285714285714,0.05714285714285714
2015,02M280,0.9362814070351759,High school,Common Core Algebra,76,64.5,26,50,0,26,0.34210526315789475,0.6578947368421053,0,0.34210526315789475
2015,02M280,0.9362814070351759,High school,Common Core Geometry,18,61.6,9,9,0,5,0.5,0.5,0,0.2777777777777778
2015,02M280,0.9362814070351759,High school,Geometry,18,72.3,4,14,4,4,0.2222222222222222,0.7777777777777778,0.2222222222222222,0.2222222222222222
2015,02M280,0.9362814070351759,High school,Integrated Algebra,11,75.6,1,10,3,3,0.09090909090909091,0.9090909090909091,0.2727272727272727,0.2727272727272727
2015,02M282,0.907088622268591,High school,Common Core Algebra,64,66.7,17,47,0,28,0.265625,0.734375,0,0.4375
2015,02M282,0.907088622268591,High school,Common Core Geometry,18,75.2,0,18,3,17,0,1,0.16666666666666666,0.9444444444444444
2015,02M282,0.907088622268591,High school,Geometry,18,73.8,1,17,1,1,0.05555555555555555,0.9444444444444444,0.05555555555555555,0.05555555555555555
2015,02M282,0.907088622268591,High school,Integrated Algebra,21,75.7,4,17,12,12,0.19047619047619047,0.8095238095238095,0.5714285714285714,0.5714285714285714
2015,02M288,0.8842011236475243,High school,Algebra2/Trigonometry,25,43.2,22,3,0,0,0.88,0.12,0,0
2015,02M288,0.8842011236475243,High school,Common Core Algebra,60,61.9,26,34,0,11,0.43333333333333335,0.5666666666666667,0,0.18333333333333332
2015,02M288,0.8842011236475243,High school,Common Core Geometry,97,50.9,90,7,0,3,0.9278350515463918,0.07216494845360824,0,0.030927835051546393
2015,02M288,0.8842011236475243,High school,English,114,71.6,18,96,22,51,0.15789473684210525,0.8421052631578947,0.19298245614035087,0.4473684210526316
2015,02M288,0.8842011236475243,High school,Geometry,107,53.3,80,27,0,0,0.7476635514018691,0.2523364485981308,0,0
2015,02M288,0.8842011236475243,High school,Integrated Algebra,33,60.4,17,16,3,3,0.5151515151515151,0.48484848484848486,0.09090909090909091,0.09090909090909091
2015,02M294,0.8650838889558422,High school,Common Core English,157,66.7,67,90,41,58,0.4267515923566879,0.5732484076433121,0.2611464968152866,0.36942675159235666
2015,02M294,0.8650838889558422,High school,English,115,74.5,17,98,34,55,0.14782608695652175,0.8521739130434782,0.2956521739130435,0.4782608695652174
2015,02M296,0.8449400087288541,High school,Algebra2/Trigonometry,33,43.5,29,4,2,2,0.8787878787878788,0.12121212121212122,0.06060606060606061,0.06060606060606061
2015,02M296,0.8449400087288541,High school,Common Core Algebra,94,64.5,28,66,0,24,0.2978723404255319,0.7021276595744681,0,0.2553191489361702
2015,02M296,0.8449400087288541,High school,English,112,74.4,19,93,36,71,0.16964285714285715,0.8303571428571429,0.32142857142857145,0.6339285714285714
2015,02M296,0.8449400087288541,High school,Geometry,60,63.9,26,34,4,4,0.43333333333333335,0.5666666666666667,0.06666666666666667,0.06666666666666667
2015,02M296,0.8449400087288541,High school,Integrated Algebra,46,69.9,11,35,6,6,0.2391304347826087,0.7608695652173914,0.13043478260869565,0.13043478260869565
2015,02M298,0.9275740575349514,High school,Geometry,163,62.9,81,82,13,13,0.49693251533742333,0.5030674846625767,0.07975460122699386,0.07975460122699386
2015,02M298,0.9275740575349514,High school,Algebra2/Trigonometry,53,58.8,32,21,3,3,0.6037735849056604,0.39622641509433965,0.05660377358490566,0.05660377358490566
2015,02M298,0.9275740575349514,High school,Common Core Algebra,116,65,39,77,4,38,0.33620689655172414,0.6637931034482759,0.034482758620689655,0.3275862068965517
2015,02M298,0.9275740575349514,High school,Common Core English,106,78.1,12,94,59,77,0.11320754716981132,0.8867924528301887,0.5566037735849056,0.7264150943396226
2015,02M298,0.9275740575349514,High school,Common Core Geometry,88,54.5,65,23,0,13,0.7386363636363636,0.26136363636363635,0,0.14772727272727273
2015,02M298,0.9275740575349514,High school,English,121,79.1,6,115,61,88,0.049586776859504134,0.9504132231404959,0.5041322314049587,0.7272727272727273
2015,02M298,0.9275740575349514,High school,Integrated Algebra,68,69.1,17,51,11,11,0.25,0.75,0.16176470588235295,0.16176470588235295
2015,02M300,0.8282521566025216,High school,Algebra2/Trigonometry,28,52.6,20,8,2,2,0.7142857142857143,0.2857142857142857,0.07142857142857142,0.07142857142857142
2015,02M300,0.8282521566025216,High school,Common Core Algebra,118,63.4,52,66,1,27,0.4406779661016949,0.559322033898305,0.00847457627118644,0.2288135593220339
2015,02M300,0.8282521566025216,High school,Common Core English,72,70.5,24,48,20,29,0.3333333333333333,0.6666666666666666,0.2777777777777778,0.4027777777777778
2015,02M300,0.8282521566025216,High school,Common Core Geometry,62,61,35,27,3,19,0.5645161290322581,0.43548387096774194,0.04838709677419355,0.3064516129032258
2015,02M300,0.8282521566025216,High school,English,103,71.9,22,81,25,47,0.21359223300970873,0.7864077669902912,0.24271844660194175,0.4563106796116505
2015,02M300,0.8282521566025216,High school,Geometry,107,66.4,45,62,14,14,0.4205607476635514,0.5794392523364486,0.1308411214953271,0.1308411214953271
2015,02M300,0.8282521566025216,High school,Integrated Algebra,32,64.3,14,18,4,4,0.4375,0.5625,0.125,0.125
2015,02M303,0.8288965887103559,High school,Common Core English,75,60,39,36,11,24,0.52,0.48,0.14666666666666667,0.32
2015,02M303,0.8288965887103559,High school,English,104,66.7,30,74,12,30,0.28846153846153844,0.7115384615384616,0.11538461538461539,0.28846153846153844
2015,02M305,0.8596537574938963,High school,Algebra2/Trigonometry,22,49,20,2,1,1,0.9090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456
2015,02M305,0.8596537574938963,High school,Common Core Algebra,54,57.7,40,14,0,7,0.7407407407407407,0.25925925925925924,0,0.12962962962962962
2015,02M305,0.8596537574938963,High school,Common Core English,20,63.1,10,10,3,4,0.5,0.5,0.15,0.2
2015,02M305,0.8596537574938963,High school,Common Core Geometry,26,68.3,8,18,1,11,0.3076923076923077,0.6923076923076923,0.038461538461538464,0.4230769230769231
2015,02M305,0.8596537574938963,High school,English,78,73.1,13,65,24,39,0.16666666666666666,0.8333333333333334,0.3076923076923077,0.5
2015,02M305,0.8596537574938963,High school,Geometry,27,77.1,2,25,9,9,0.07407407407407407,0.9259259259259259,0.3333333333333333,0.3333333333333333
2015,02M305,0.8596537574938963,High school,Integrated Algebra,79,62.7,40,39,5,5,0.5063291139240507,0.4936708860759494,0.06329113924050633,0.06329113924050633
2015,02M308,0.8948703956343793,High school,Algebra2/Trigonometry,40,43.5,35,5,2,2,0.875,0.125,0.05,0.05
2015,02M308,0.8948703956343793,High school,Common Core Algebra,72,61.8,33,39,0,14,0.4583333333333333,0.5416666666666666,0,0.19444444444444445
2015,02M308,0.8948703956343793,High school,Common Core Geometry,34,48.4,31,3,1,3,0.9117647058823529,0.08823529411764706,0.029411764705882353,0.08823529411764706
2015,02M308,0.8948703956343793,High school,English,82,76.6,8,74,42,53,0.0975609756097561,0.9024390243902439,0.5121951219512195,0.6463414634146342
2015,02M308,0.8948703956343793,High school,Geometry,42,58.9,27,15,3,3,0.6428571428571429,0.35714285714285715,0.07142857142857142,0.07142857142857142
2015,02M308,0.8948703956343793,High school,Integrated Algebra,73,65.8,27,46,8,8,0.3698630136986301,0.6301369863013698,0.1095890410958904,0.1095890410958904
2015,02M316,0.793893053771791,High school,Algebra2/Trigonometry,20,30.8,20,0,0,0,1,0,0,0
2015,02M316,0.793893053771791,High school,Common Core Algebra,131,53.1,105,26,0,8,0.8015267175572519,0.1984732824427481,0,0.061068702290076333
2015,02M316,0.793893053771791,High school,Common Core English,38,62.1,17,21,4,11,0.4473684210526316,0.5526315789473685,0.10526315789473684,0.2894736842105263
2015,02M316,0.793893053771791,High school,English,105,72.1,23,82,31,48,0.21904761904761905,0.780952380952381,0.29523809523809524,0.45714285714285713
2015,02M316,0.793893053771791,High school,Geometry,90,58.7,54,36,4,4,0.6,0.4,0.044444444444444446,0.044444444444444446
2015,02M316,0.793893053771791,High school,Integrated Algebra,49,59.5,34,15,1,1,0.6938775510204082,0.30612244897959184,0.02040816326530612,0.02040816326530612
2015,02M374,0.8651788273852565,High school,Algebra2/Trigonometry,47,46.2,44,3,0,0,0.9361702127659575,0.06382978723404255,0,0
2015,02M374,0.8651788273852565,High school,Common Core Algebra,56,64,20,36,0,19,0.35714285714285715,0.6428571428571429,0,0.3392857142857143
2015,02M374,0.8651788273852565,High school,Common Core Geometry,83,56.3,67,16,1,12,0.8072289156626506,0.1927710843373494,0.012048192771084338,0.14457831325301204
2015,02M374,0.8651788273852565,High school,English,125,72.8,23,102,37,65,0.184,0.816,0.296,0.52
2015,02M374,0.8651788273852565,High school,Geometry,143,62.6,77,66,8,8,0.5384615384615384,0.46153846153846156,0.055944055944055944,0.055944055944055944
2015,02M374,0.8651788273852565,High school,Integrated Algebra,121,64.2,62,59,10,10,0.512396694214876,0.48760330578512395,0.08264462809917356,0.08264462809917356
2015,02M376,0.9399426680145684,High school,Algebra2/Trigonometry,6,76.5,0,6,2,2,0,1,0.3333333333333333,0.3333333333333333
2015,02M376,0.9399426680145684,High school,Common Core Algebra,93,70.4,3,90,4,61,0.03225806451612903,0.967741935483871,0.043010752688172046,0.6559139784946236
2015,02M376,0.9399426680145684,High school,Common Core English,110,86.5,1,109,93,99,0.00909090909090909,0.990909090909091,0.8454545454545455,0.9
2015,02M376,0.9399426680145684,High school,English,26,84.1,0,26,19,22,0,1,0.7307692307692307,0.8461538461538461
2015,02M392,0.857154757216854,High school,Algebra2/Trigonometry,26,46.1,23,3,0,0,0.8846153846153846,0.11538461538461539,0,0
2015,02M392,0.857154757216854,High school,Common Core Algebra,136,59.7,89,47,0,14,0.6544117647058824,0.34558823529411764,0,0.10294117647058823
2015,02M392,0.857154757216854,High school,Common Core English,34,70.3,12,22,10,17,0.35294117647058826,0.6470588235294118,0.29411764705882354,0.5
2015,02M392,0.857154757216854,High school,Common Core Geometry,21,59,13,8,0,3,0.6190476190476191,0.38095238095238093,0,0.14285714285714285
2015,02M392,0.857154757216854,High school,English,101,74.4,14,87,37,59,0.13861386138613863,0.8613861386138614,0.36633663366336633,0.5841584158415841
2015,02M392,0.857154757216854,High school,Geometry,33,59.1,22,11,3,3,0.6666666666666666,0.3333333333333333,0.09090909090909091,0.09090909090909091
2015,02M392,0.857154757216854,High school,Integrated Algebra,42,64,15,27,1,1,0.35714285714285715,0.6428571428571429,0.023809523809523808,0.023809523809523808
2015,02M393,0.8457460198796237,High school,Common Core Algebra,149,55.9,114,35,0,8,0.7651006711409396,0.2348993288590604,0,0.053691275167785234
2015,02M393,0.8457460198796237,High school,English,123,70,26,97,22,51,0.21138211382113822,0.7886178861788617,0.17886178861788618,0.4146341463414634
2015,02M393,0.8457460198796237,High school,Geometry,82,55.7,61,21,3,3,0.7439024390243902,0.25609756097560976,0.036585365853658534,0.036585365853658534
2015,02M393,0.8457460198796237,High school,Integrated Algebra,225,65.8,98,127,16,16,0.43555555555555553,0.5644444444444444,0.07111111111111111,0.07111111111111111
2015,02M399,0.8695682095945513,High school,Algebra2/Trigonometry,68,48.8,56,12,6,6,0.8235294117647058,0.17647058823529413,0.08823529411764706,0.08823529411764706
2015,02M399,0.8695682095945513,High school,Common Core Algebra,136,63.9,64,72,3,38,0.47058823529411764,0.5294117647058824,0.022058823529411766,0.27941176470588236
2015,02M399,0.8695682095945513,High school,Common Core English,25,65.2,8,17,5,8,0.32,0.68,0.2,0.32
2015,02M399,0.8695682095945513,High school,Common Core Geometry,60,59.7,38,22,2,15,0.6333333333333333,0.36666666666666664,0.03333333333333333,0.25
2015,02M399,0.8695682095945513,High school,English,98,68.9,24,74,21,38,0.24489795918367346,0.7551020408163265,0.21428571428571427,0.3877551020408163
2015,02M399,0.8695682095945513,High school,Geometry,70,68.4,27,43,18,18,0.38571428571428573,0.6142857142857143,0.2571428571428571,0.2571428571428571
2015,02M399,0.8695682095945513,High school,Integrated Algebra,155,69.2,42,113,20,20,0.2709677419354839,0.7290322580645161,0.12903225806451613,0.12903225806451613
2015,02M400,0.8905023514003643,High school,Algebra2/Trigonometry,180,64.2,88,92,44,44,0.4888888888888889,0.5111111111111111,0.24444444444444444,0.24444444444444444
2015,02M400,0.8905023514003643,High school,Common Core Algebra,219,61.1,120,99,1,46,0.547945205479452,0.4520547945205479,0.0045662100456621,0.2100456621004566
2015,02M400,0.8905023514003643,High school,Common Core Geometry,232,57.7,146,86,12,60,0.6293103448275862,0.3706896551724138,0.05172413793103448,0.25862068965517243
2015,02M400,0.8905023514003643,High school,English,332,72.5,65,267,119,187,0.19578313253012047,0.8042168674698795,0.35843373493975905,0.5632530120481928
2015,02M400,0.8905023514003643,High school,Geometry,238,65,106,132,46,46,0.44537815126050423,0.5546218487394958,0.19327731092436976,0.19327731092436976
2015,02M400,0.8905023514003643,High school,Integrated Algebra,154,63.5,76,78,12,12,0.4935064935064935,0.5064935064935064,0.07792207792207792,0.07792207792207792
2015,02M407,0.9168702132063755,Secondary School,English,85,83,2,83,57,66,0.023529411764705882,0.9764705882352941,0.6705882352941176,0.7764705882352941
2015,02M408,0.9455931102833123,Secondary School,Algebra2/Trigonometry,47,68.8,18,29,12,12,0.3829787234042553,0.6170212765957447,0.2553191489361702,0.2553191489361702
2015,02M408,0.9455931102833123,Secondary School,Common Core Algebra,113,67.9,29,84,8,51,0.25663716814159293,0.7433628318584071,0.07079646017699115,0.45132743362831856
2015,02M408,0.9455931102833123,Secondary School,Common Core Geometry,42,69.8,11,31,6,22,0.2619047619047619,0.7380952380952381,0.14285714285714285,0.5238095238095238
2015,02M408,0.9455931102833123,Secondary School,English,118,82.1,3,115,69,92,0.025423728813559324,0.9745762711864406,0.5847457627118644,0.7796610169491526
2015,02M408,0.9455931102833123,Secondary School,Geometry,78,69.3,22,56,15,15,0.28205128205128205,0.717948717948718,0.19230769230769232,0.19230769230769232
2015,02M408,0.9455931102833123,Secondary School,Integrated Algebra,16,80.4,1,15,11,11,0.0625,0.9375,0.6875,0.6875
2015,02M411,0.9757228684953804,High school,Algebra2/Trigonometry,129,74.7,32,97,57,57,0.24806201550387597,0.751937984496124,0.4418604651162791,0.4418604651162791
2015,02M411,0.9757228684953804,High school,Common Core Algebra,89,76,6,83,23,76,0.06741573033707865,0.9325842696629213,0.25842696629213485,0.8539325842696629
2015,02M411,0.9757228684953804,High school,Common Core Geometry,107,78.9,8,99,60,94,0.07476635514018691,0.9252336448598131,0.5607476635514018,0.8785046728971962
2015,02M411,0.9757228684953804,High school,English,111,85.1,2,109,87,100,0.018018018018018018,0.9819819819819819,0.7837837837837838,0.9009009009009009
2015,02M411,0.9757228684953804,High school,Geometry,101,80.6,4,97,62,62,0.039603960396039604,0.9603960396039604,0.6138613861386139,0.6138613861386139
2015,02M411,0.9757228684953804,High school,Integrated Algebra,6,84.7,0,6,5,5,0,1,0.8333333333333334,0.8333333333333334
2015,02M412,0.9422828575241498,High school,Algebra2/Trigonometry,106,77,17,89,52,52,0.16037735849056603,0.839622641509434,0.49056603773584906,0.49056603773584906
2015,02M412,0.9422828575241498,High school,Common Core Algebra,79,76.6,2,77,25,71,0.02531645569620253,0.9746835443037974,0.31645569620253167,0.8987341772151899
2015,02M412,0.9422828575241498,High school,Common Core Geometry,156,79.2,10,146,80,133,0.0641025641025641,0.9358974358974359,0.5128205128205128,0.8525641025641025
2015,02M412,0.9422828575241498,High school,English,10,74,2,8,3,6,0.2,0.8,0.3,0.6
2015,02M412,0.9422828575241498,High school,Geometry,157,80.9,2,155,85,85,0.012738853503184714,0.9872611464968153,0.5414012738853503,0.5414012738853503
2015,02M412,0.9422828575241498,High school,Integrated Algebra,7,71.6,1,6,1,1,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.14285714285714285
2015,02M413,0.9407482688998198,Secondary School,English,97,83.4,4,93,70,83,0.041237113402061855,0.9587628865979382,0.7216494845360825,0.8556701030927835
2015,02M414,0.9503829255858447,High school,English,128,87.4,2,126,112,124,0.015625,0.984375,0.875,0.96875
2015,02M414,0.9503829255858447,High school,Geometry,132,75.1,12,120,40,40,0.09090909090909091,0.9090909090909091,0.30303030303030304,0.30303030303030304
2015,02M414,0.9503829255858447,High school,Algebra2/Trigonometry,177,65.9,71,106,39,39,0.4011299435028249,0.5988700564971752,0.22033898305084745,0.22033898305084745
2015,02M414,0.9503829255858447,High school,Common Core Algebra,82,67.7,17,65,3,36,0.2073170731707317,0.7926829268292683,0.036585365853658534,0.43902439024390244
2015,02M414,0.9503829255858447,High school,Common Core Geometry,132,70.5,29,103,14,87,0.2196969696969697,0.7803030303030303,0.10606060606060606,0.6590909090909091
2015,02M414,0.9503829255858447,High school,Integrated Algebra,11,82.6,0,11,8,8,0,1,0.7272727272727273,0.7272727272727273
2015,02M416,0.9657890498197271,High school,Geometry,139,84.2,10,129,101,101,0.07194244604316546,0.9280575539568345,0.7266187050359713,0.7266187050359713
2015,02M416,0.9657890498197271,High school,Algebra2/Trigonometry,235,81.2,36,199,147,147,0.15319148936170213,0.8468085106382979,0.625531914893617,0.625531914893617
2015,02M416,0.9657890498197271,High school,Common Core English,130,90.5,3,127,121,124,0.023076923076923078,0.9769230769230769,0.9307692307692308,0.9538461538461539
2015,02M416,0.9657890498197271,High school,Common Core Geometry,130,74.8,21,109,52,98,0.16153846153846155,0.8384615384615385,0.4,0.7538461538461538
2015,02M416,0.9657890498197271,High school,English,139,88.2,0,139,119,132,0,1,0.8561151079136691,0.9496402877697842
2015,02M416,0.9657890498197271,High school,Integrated Algebra,104,88.2,0,104,103,103,0,1,0.9903846153846154,0.9903846153846154
2015,02M418,0.9644356406854817,High school,Algebra2/Trigonometry,138,81.4,14,124,84,84,0.10144927536231885,0.8985507246376812,0.6086956521739131,0.6086956521739131
2015,02M418,0.9644356406854817,High school,Common Core Algebra,135,73.9,11,124,25,114,0.08148148148148149,0.9185185185185185,0.18518518518518517,0.8444444444444444
2015,02M418,0.9644356406854817,High school,Common Core English,20,82.7,0,20,15,18,0,1,0.75,0.9
2015,02M418,0.9644356406854817,High school,Common Core Geometry,148,78.9,5,143,73,132,0.033783783783783786,0.9662162162162162,0.49324324324324326,0.8918918918918919
2015,02M418,0.9644356406854817,High school,English,6,75.7,0,6,2,3,0,1,0.3333333333333333,0.5
2015,02M418,0.9644356406854817,High school,Geometry,150,79.6,3,147,73,73,0.02,0.98,0.4866666666666667,0.4866666666666667
2015,02M418,0.9644356406854817,High school,Integrated Algebra,63,80.5,1,62,38,38,0.015873015873015872,0.9841269841269841,0.6031746031746031,0.6031746031746031
2015,02M419,0.8164112042318601,High school,English,98,69.6,19,79,14,40,0.19387755102040816,0.8061224489795918,0.14285714285714285,0.40816326530612246
2015,02M420,0.9143424793036081,High school,Algebra2/Trigonometry,343,64,156,187,70,70,0.45481049562682213,0.5451895043731778,0.20408163265306123,0.20408163265306123
2015,02M420,0.9143424793036081,High school,Common Core Algebra,294,65.5,99,195,3,122,0.336734693877551,0.6632653061224489,0.01020408163265306,0.41496598639455784
2015,02M420,0.9143424793036081,High school,Common Core English,17,68.7,7,10,3,6,0.4117647058823529,0.5882352941176471,0.17647058823529413,0.35294117647058826
2015,02M420,0.9143424793036081,High school,Common Core Geometry,296,60.7,176,120,2,72,0.5945945945945946,0.40540540540540543,0.006756756756756757,0.24324324324324326
2015,02M420,0.9143424793036081,High school,English,433,78,28,405,209,295,0.06466512702078522,0.9353348729792148,0.48267898383371827,0.6812933025404158
2015,02M420,0.9143424793036081,High school,Geometry,372,72.1,72,300,96,96,0.1935483870967742,0.8064516129032258,0.25806451612903225,0.25806451612903225
2015,02M420,0.9143424793036081,High school,Integrated Algebra,240,72.6,51,189,77,77,0.2125,0.7875,0.32083333333333336,0.32083333333333336
2015,02M422,0.8884720725260471,Secondary School,Algebra2/Trigonometry,39,48.1,30,9,4,4,0.7692307692307693,0.23076923076923078,0.10256410256410256,0.10256410256410256
2015,02M422,0.8884720725260471,Secondary School,Common Core Algebra,107,62.5,48,59,2,34,0.4485981308411215,0.5514018691588785,0.018691588785046728,0.3177570093457944
2015,02M422,0.8884720725260471,Secondary School,Common Core English,76,78.9,5,71,40,56,0.06578947368421052,0.9342105263157895,0.5263157894736842,0.7368421052631579
2015,02M422,0.8884720725260471,Secondary School,Common Core Geometry,68,59.2,42,26,1,19,0.6176470588235294,0.38235294117647056,0.014705882352941176,0.27941176470588236
2015,02M422,0.8884720725260471,Secondary School,Geometry,73,62.9,35,38,6,6,0.4794520547945205,0.5205479452054794,0.0821917808219178,0.0821917808219178
2015,02M422,0.8884720725260471,Secondary School,Integrated Algebra,52,64.2,25,27,2,2,0.4807692307692308,0.5192307692307693,0.038461538461538464,0.038461538461538464
2015,02M425,0.7903393855019236,High school,Algebra2/Trigonometry,14,46.5,11,3,0,0,0.7857142857142857,0.21428571428571427,0,0
2015,02M425,0.7903393855019236,High school,Common Core Algebra,227,56.5,176,51,0,16,0.775330396475771,0.22466960352422907,0,0.07048458149779736
2015,02M425,0.7903393855019236,High school,English,147,70.9,37,110,43,70,0.25170068027210885,0.7482993197278912,0.2925170068027211,0.47619047619047616
2015,02M425,0.7903393855019236,High school,Geometry,60,57.3,41,19,3,3,0.6833333333333333,0.31666666666666665,0.05,0.05
2015,02M425,0.7903393855019236,High school,Integrated Algebra,182,60.3,109,73,0,0,0.5989010989010989,0.4010989010989011,0,0
2015,02M427,0.8476930507241504,High school,Algebra2/Trigonometry,13,52,11,2,1,1,0.8461538461538461,0.15384615384615385,0.07692307692307693,0.07692307692307693
2015,02M427,0.8476930507241504,High school,Common Core Algebra,51,60.7,32,19,3,13,0.6274509803921569,0.37254901960784315,0.058823529411764705,0.2549019607843137
2015,02M427,0.8476930507241504,High school,Common Core Geometry,38,46.9,38,0,0,0,1,0,0,0
2015,02M427,0.8476930507241504,High school,English,64,66.1,19,45,5,20,0.296875,0.703125,0.078125,0.3125
2015,02M427,0.8476930507241504,High school,Geometry,95,59.7,59,36,2,2,0.6210526315789474,0.37894736842105264,0.021052631578947368,0.021052631578947368
